"time","n_risk","n_event","n_censor","survival","lower_CI","upper_CI","strata"
30.8475689881735,35086,1,9,0.985419601303151,0.984308320412705,0.986532136826105,"Overweight"
30.8829568788502,35063,1,13,0.985391497045064,0.984278885823599,0.986505365942324,"Overweight"
31,35042,1,20,0.985363376746649,0.984249435328137,0.986478578887738,"Overweight"
31.0775295663601,35020,1,37,0.985335239585691,0.984219968024304,0.986451774920113,"Overweight"
31.2746386333771,34898,1,124,0.985307004866235,0.984190395492753,0.986424881084526,"Overweight"
31.3074901445466,34877,1,25,0.985278753955753,0.984160806901168,0.986397970930466,"Overweight"
31.4060446780552,34820,1,51,0.985250457610149,0.9841311702038,0.986371018021901,"Overweight"
31.5703022339028,34720,1,94,0.98522208058084,0.984101446774432,0.986343990495653,"Overweight"
31.6031537450723,34704,1,13,0.985193691286217,0.984071711600787,0.986316950185753,"Overweight"
31.7017082785808,34659,1,45,0.985165265951058,0.984041938626346,0.986289875603513,"Overweight"
31.7043121149898,34645,1,0,0.985136829949731,0.984012155660191,0.986262789683004,"Overweight"
31.8662286465177,34552,1,92,0.98510831823319,0.983982291415863,0.986235633626952,"Overweight"
32,34514,1,37,0.985079775951268,0.983952395379863,0.986208448238572,"Overweight"
32.0302233902759,34512,1,3,0.985051232842322,0.983922500143395,0.986181260396794,"Overweight"
32.095926412615,34498,1,31,0.985022678977378,0.983892594821153,0.986154061131175,"Overweight"
32.161629434954,34459,1,25,0.984994093624379,0.983862656694335,0.986126831700998,"Overweight"
32.2201861285619,34442,1,10,0.984965494992081,0.983832705715896,0.986099588566787,"Overweight"
32.2601839684625,34417,1,39,0.984936876417103,0.983802734583447,0.986072325705653,"Overweight"
32.2930354796321,34398,2,13,0.984879609315736,0.98374276458394,0.986017767821814,"Overweight"
32.3915900131406,34349,2,45,0.984822263855355,0.983682715500355,0.985963132321437,"Overweight"
32.4572930354796,34320,1,39,0.984793568567947,0.983652668778886,0.985935791641506,"Overweight"
32.6215505913272,34230,2,89,0.984736028774282,0.983592416952348,0.985880970260798,"Overweight"
32.6544021024967,34207,1,13,0.984707241215339,0.983562274228516,0.985853541060726,"Overweight"
32.7529566360053,34166,1,41,0.98467841995323,0.983532096278278,0.985826079688258,"Overweight"
33,34065,1,87,0.984649514084451,0.983501827347458,0.985798540101972,"Overweight"
33.2128777923784,33976,1,96,0.984620533347634,0.98347147810515,0.985770931107903,"Overweight"
33.245729303548,33965,1,25,0.984591544078288,0.983441121228243,0.985743312685293,"Overweight"
33.311432325887,33920,1,34,0.984562517204936,0.983410724867884,0.985715658546584,"Overweight"
33.4099868593955,33868,1,56,0.984533446621577,0.98338028233746,0.985687963167774,"Overweight"
33.5112936344969,33801,1,47,0.984504319274853,0.98334977933933,0.985660214742752,"Overweight"
33.7385019710907,33701,1,116,0.984475106363685,0.98331918431969,0.985632387229712,"Overweight"
33.8370565045992,33648,1,60,0.984445848306553,0.983288541570428,0.985604517164604,"Overweight"
33.8699080157687,33621,1,14,0.9844165676234,0.983257875771116,0.98557662490264,"Overweight"
33.9027595269382,33607,1,13,0.98438727561377,0.98322719930236,0.985548720659741,"Overweight"
33.9684625492773,33576,1,22,0.984357957431866,0.983196495896602,0.985520791015245,"Overweight"
34.0341655716163,33565,1,8,0.984328630515214,0.983165784658407,0.985492851735676,"Overweight"
34.0998685939553,33542,2,33,0.984269938211206,0.983104325235313,0.98543693319059,"Overweight"
34.1327201051248,33526,1,12,0.98424057980465,0.983073584691887,0.985408960243612,"Overweight"
34.1655716162944,33513,1,16,0.984211210885728,0.9830428343569,0.98538097606586,"Overweight"
34.1984231274639,33495,1,18,0.984181827060952,0.98301206941613,0.985352976685578,"Overweight"
34.2969776609724,33449,1,49,0.984152403705185,0.982981262900786,0.985324939826905,"Overweight"
34.3626806833114,33406,1,33,0.984122943356633,0.9829504175932,0.985296867783357,"Overweight"
34.3955321944809,33393,1,19,0.984093472421307,0.982919562413348,0.985268784440945,"Overweight"
34.44,33354,1,19,0.984063967909931,0.982888672184526,0.985240669003087,"Overweight"
35.0525624178712,33098,1,271,0.984034236084204,0.982857534692316,0.985212346252153,"Overweight"
35.1511169513798,33056,1,47,0.984004467381516,0.98282635856266,0.985183988393255,"Overweight"
35.1839684625493,33032,1,12,0.983974677951043,0.982795161492056,0.985155610024525,"Overweight"
35.2168199737188,33019,1,16,0.983944877694283,0.982763954327984,0.985127220099193,"Overweight"
35.2825229960578,32980,1,35,0.983915043101266,0.982732711311974,0.98509879736123,"Overweight"
35.4092272244523,32917,1,50,0.983885152314041,0.982701408498766,0.985070322045069,"Overweight"
35.4139290407359,32916,1,21,0.983855261526815,0.982670107457808,0.985041844956659,"Overweight"
35.4796320630749,32875,1,28,0.983825334370571,0.982638768342461,0.985013333213042,"Overweight"
35.611038107753,32819,1,54,0.983795357060648,0.982607376053497,0.984984774347341,"Overweight"
35.742444152431,32765,1,57,0.983765331260036,0.982575932416158,0.984956169859929,"Overweight"
35.9395532194481,32685,1,74,0.983735232886737,0.982544411047823,0.984927497975072,"Overweight"
36,32674,3,3,0.983644910131682,0.982449827384708,0.984841446614748,"Overweight"
36.7279894875164,32322,1,365,0.983614477457029,0.982417946821587,0.984812465400501,"Overweight"
36.826544021025,32278,1,51,0.983584004240676,0.982386023658364,0.984783445712537,"Overweight"
37.0565045992116,32193,1,79,0.98355345151169,0.982354015170428,0.984754352342855,"Overweight"
37.1222076215506,32156,1,29,0.983522864577634,0.982321971040063,0.984725226213579,"Overweight"
37.2864651773982,32070,1,98,0.983492196574373,0.982289839882471,0.984696024992394,"Overweight"
